index,Car Name,KMs Driven,Fuel Type,Transmission,Ownership,Manufacture,Engine,Seats,car price,CarPrices in Lakhs
0,Jeep Compass 2.0 Longitude Option BSIV,86226,Diesel,Manual,1,2017,1956,5,10.03,10.03
1,Renault Duster RXZ Turbo CVT,86226,Petrol,Automatic,1,2021,1330,5,12.83,12.83
2,Toyota Camry 2.5 G,86226,Petrol,Automatic,1,2016,2494,5,16.4,16.4
3,Honda Jazz VX CVT,26696,Petrol,Automatic,1,2018,1199,5,7.77,7.77
4,Volkswagen Polo 1.2 MPI Highline,69414,Petrol,Manual,1,2016,1199,5,5.15,5.15
5,Volkswagen Vento 1.2 TSI Highline AT,49719,Petrol,Automatic,1,2017,1197,5,7.66,7.66
6,Volkswagen Vento 1.2 TSI Highline Plus AT,43688,Petrol,Automatic,1,2017,1197,5,7.58,7.58
7,Honda WR-V VX Diesel,14470,Diesel,Manual,1,2021,1498,5,11.6,11.6
8,Honda City i VTEC CVT SV,21429,Petrol,Automatic,1,2015,1497,5,6.99,6.99
9,Renault Duster Petrol RXS CVT,31750,Petrol,Automatic,1,2017,1498,5,7.53,7.53
10,Maruti Baleno 1.2 Alpha,38203,Petrol,Manual,1,2017,1197,5,6.43,6.43
11,Honda City i VTEC CVT SV,110284,Petrol,Automatic,1,2014,1497,5,5.43,5.43
12,Mahindra XUV300 W6,10381,Petrol,Manual,1,2020,1197,5,8.62,8.62
13,Jeep Compass 1.4 Limited Plus BSIV,32378,Petrol,Automatic,1,2019,1368,5,16.78,16.78
14,Honda City V MT,38906,Petrol,Manual,1,2020,1498,5,10.03,10.03
15,Hyundai Grand i10 AT Asta,59313,Petrol,Automatic,2,2016,1197,5,5.63,5.63
16,Hyundai i20 1.4 Asta,85672,Diesel,Manual,1,2017,1396,5,6.67,6.67
17,Maruti Ciaz 1.4 Delta,34971,Petrol,Manual,2,2017,1373,5,6.73,6.73
18,Nissan Micra XL Optional,35894,Petrol,Manual,2,2015,1198,5,3.21,3.21
19,Maruti Ciaz Alpha Automatic BSIV,56000,Petrol,Automatic,1,2019,1462,5,8.5,8.5
20,Maruti Swift Dzire VXI,56568,Petrol,Manual,1,2014,1197,5,4.34,4.34
21,Renault KWID RXT,48872,Petrol,Manual,1,2017,799,5,3.11,3.11
22,Renault KWID RXL BSIV,17346,Petrol,Manual,1,2019,799,5,3.7,3.7
23,Jeep Compass 2.0 Limited Plus BSIV,15414,Diesel,Manual,1,2019,1956,5,15.88,15.88
24,Hyundai Grand i10 1.2 Kappa Magna BSIV,21239,Petrol,Manual,1,2018,1197,5,5.41,5.41
25,Maruti Alto K10 LXI,62361,Petrol,Manual,1,2014,998,5,2.23,2.23
26,Hyundai Verna 1.6 VTVT S Option,79329,Petrol,Manual,2,2015,1591,5,5.88,5.88
27,Hyundai Tucson GLS AT,11945,Petrol,Automatic,1,2021,1999,5,22.78,22.78
28,Maruti Swift Dzire VXI 1.2,51324,Petrol,Manual,1,2018,1197,5,6.12,6.12
29,Nissan Magnite XV Premium,5717,Petrol,Manual,1,2021,999,5,7.44,7.44
30,Honda City i VTEC CVT VX,46417,Petrol,Automatic,1,2016,1497,5,8.39,8.39
31,Honda Amaze S i-Vtech,100161,Petrol,Manual,1,2015,1198,5,4.2,4.2
32,Hyundai Grand i10 Sportz,35424,Petrol,Manual,1,2016,1197,5,4.91,4.91
33,Hyundai EON Era Plus,51085,Petrol,Manual,1,2017,814,5,2.93,2.93
34,Maruti Alto 800 LXI,30983,Petrol,Manual,1,2016,796,5,2.98,2.98
35,Renault KWID RXL,32681,Petrol,Manual,1,2016,799,5,2.6,2.6
36,Hyundai EON Magna Plus,57581,Petrol,Manual,2,2014,814,5,2.38,2.38
37,Honda Jazz 1.2 V AT i VTEC,39821,Petrol,Automatic,1,2016,1199,5,6.05,6.05
38,Maruti Alto 800 LXI,21186,Petrol,Manual,1,2018,796,5,3.23,3.23
39,Renault KWID RXL,34972,Petrol,Manual,1,2018,799,5,3.26,3.26
40,Honda Amaze S i-Vtech,46623,Petrol,Manual,2,2015,1198,5,4.21,4.21
41,Kia Seltos GTX Plus,18557,Petrol,Manual,1,2019,1353,5,15.53,15.53
42,Jeep Compass 2.0 Limited,58463,Diesel,Manual,1,2017,1956,5,12.43,12.43
43,MG Hector Plus Sharp DCT,5000,Petrol,Automatic,1,2020,1451,6,18.5,18.5
44,Tata Harrier XZ BSIV,66000,Diesel,Manual,1,2019,1956,5,15.9,15.9
45,Renault Duster Petrol RXS CVT,14000,Petrol,Automatic,1,2019,1498,5,8.9,8.9
46,BMW 5 Series 520d Luxury Line,61000,Diesel,Automatic,1,2019,1995,5,43,43
47,Hyundai i20 1.4 Magna Executive,65392,Diesel,Manual,1,2017,1396,5,6,6
48,Mercedes-Benz CLA 200 CGI Sport,37000,Petrol,Automatic,1,2018,1991,5,27,27
49,Maruti XL6 Zeta,9000,Petrol,Manual,1,2020,1462,6,10.9,10.9
50,Hyundai Grand i10 1.2 Kappa Sportz Option AT,32000,Petrol,Automatic,1,2017,1197,5,5.9,5.9
51,Mahindra XUV500 W8 2WD,68000,Diesel,Manual,1,2012,2179,7,6.5,6.5
52,Hyundai i20 Magna 1.2,13000,Petrol,Manual,1,2017,1197,5,6.75,6.75
53,Datsun RediGO AMT 1.0 T Option,30000,Petrol,Automatic,1,2020,999,5,3.7,3.7
54,Honda Brio VX AT,34300,Petrol,Automatic,1,2015,1198,5,5.25,5.25
55,Honda City i VTEC CVT SV,45000,Petrol,Automatic,1,2015,1497,5,7.25,7.25
56,Toyota Corolla Altis GL MT,37000,Petrol,Manual,1,2014,1798,5,8.5,8.5
57,Jeep Compass 1.4 Sport,50000,Petrol,Manual,1,2018,1368,5,14,14
58,Volvo XC60 D4 Summum,105241,Diesel,Automatic,1,2015,1985,5,15,15
59,Toyota Corolla Altis 1.8 G,54000,Petrol,Manual,1,2019,1798,5,13.9,13.9
60,Hyundai Verna VTVT 1.6 SX,19600,Petrol,Manual,1,2019,1591,5,8.9,8.9
61,Audi A4 2.0 TDI Technology Edition,48000,Diesel,Automatic,1,2015,1968,5,16.9,16.9
62,Audi Q3 2.0 TDI,69500,Diesel,Automatic,1,2012,1968,5,13.9,13.9
63,BMW 5 Series 530d,71000,Diesel,Automatic,2,2012,2993,5,15,15
64,Porsche Cayenne S Diesel,48894,Diesel,Automatic,1,2014,4134,5,45,45
65,Maruti A-Star Zxi,46257,Petrol,Manual,3,2008,998,5,1.53,1.53
66,Ford Ecosport 1.5 DV5 MT Titanium,78264,Diesel,Manual,2,2015,1498,5,5.09,5.09
67,Honda Jazz 1.2 S AT i VTEC,42451,Petrol,Automatic,1,2016,1199,5,5.46,5.46
68,Volkswagen Vento Diesel Highline,131861,Diesel,Manual,2,2012,1598,5,2.73,2.73
69,Maruti Wagon R VXI BS IV,128004,Petrol,Manual,2,2012,998,5,1.8,1.8
70,Chevrolet Beat Diesel PS,150349,Diesel,Manual,1,2012,936,5,1.1,1.1
71,Maruti Wagon R VXI BS IV,29033,Petrol,Manual,1,2017,998,5,3.69,3.69
72,BMW 3 Series 320d Luxury Line,99000,Diesel,Automatic,1,2015,1995,5,13.5,13.5
73,Renault KWID RXL,47000,Petrol,Manual,1,2018,799,5,2.75,2.75
74,Maruti Baleno 1.3 Sigma,35000,Diesel,Manual,1,2018,1248,5,5.5,5.5
75,Mercedes-Benz C-Class C 220 CDI BE COR,58000,Diesel,Automatic,1,2013,2143,5,9.75,9.75
76,Honda City S,48000,Petrol,Manual,1,2012,1497,5,4,4
77,Honda Amaze VX AT i-Vtech,45000,Petrol,Automatic,1,2014,1198,5,4.75,4.75
